,answers
571, H 
572, H 
573, D 
574, C 
575, C 
576, H 
577, F 
578, C 
579, F 
580, E 
581, G 
582, C 
583, G 
584, B 
585, H 
586, G 
587, H 
588, D 
589, F 
590, F 
591, A 
592, A 
593, C 
594, F 
595, B 
596, D 
597, E 
598, A 
599, G 
600, B 
601, F 
602, E 
603, B 
604, E 
605, E 
606, G 
607, G 
608, H 
609, H 
610, F 
611, C 
612, H 
613, F 
614, A 
615, A 
616, H 
617, E 
618, G 
619, H 
620, E 
621, E 
622, F 
623, G 
624, G 
625, D 
626, C 
627, F 
628, D 
629, B 
630, H 
631, E 
632, B 
633, E 
634, E 
635, D 
636, D 
637, H 
638, C 
639, H 
640, C 
641, E 
642, F 
643, D 
644, C 
645, F 
646, A 
647, E 
648, H 
649, F 
650, A 
651, B 
652, E 
653, B 
654, H 
655, F 
656, A 
657, F 
658, C 
659, G 
660, D 
661, D 
662, A 
663, D 
664, E 
665, B 
666, E 
667, E 
668, E 
669, C 
670, E 
671, B 
672, G 
673, H 
674, D 
675, B 
676, H 
677, A 
678, G 
679, E 
680, B 
681, F 
682, B 
683, E 
684, A 
685, F 
686, G 
687, A 
688, B 
689, D 
690, C 
691, G 
692, B 
693, D 
694, E 
695, B 
696, E 
697, G 
698, E 
699, E 
700, D 
701, B 
702, A 
703, E 
704, G 
705, H 
706, B 
707, B 
708, D 
709, C 
710, A 
711, G 
712, D 
713, C 
714, G 
715, F 
716, E 
717, F 
718, F 
719, A 
720, G 
721, H 
722, C 
723, H 
724, E 
725, G 
726, A 
727, D 
728, B 
729, C 
730, H 
731, H 
732, E 
733, A 
734, G 
735, C 
736, D 
737, B 
738, H 
739, C 
740, A 
741, E 
742, G 
743, D 
744, H 
745, C 
746, G 
747, E 
748, D 
749, G 
750, H 
751, G 
752, H 
753, H 
754, G 
755, D 
756, A 
757, D 
758, G 
759, D 
760, B 
761, F 
762, A 
763, H 
764, B 
765, E 
766, B 
767, A 
768, A 
769, G 
770, E 
771, B 
772, D 
773, D 
774, F 
775, E 
776, D 
777, B 
778, H 
779, D 
780, E 
781, A 
782, E 
783, B 
784, B 
785, G 
786, G 
787, E 
788, C 
789, H 
790, F 
791, H 
792, F 
793, C 
794, F 
795, F 
796, F 
797, H 
798, E 
799, E 
800, C 
801, C 
802, E 
803, G 
804, B 
805, E 
806, H 
807, H 
808, G 
809, B 
810, G 
811, H 
812, G 
813, E 
814, F 
815, B 
816, C 
817, G 
818, A 
819, E 
820, E 
821, G 
822, F 
823, E 
824, C 
825, C 
826, D 
827, C 
828, E 
829, G 
830, E 
831, F 
832, A 
833, F 
834, B 
835, G 
836, C 
837, H 
838, F 
839, D 
840, G 
841, B 
842, A 
843, A 
844, B 
845, C 
846, A 
847, C 
848, F 
849, E 
850, B 
851, G 
852, B 
853, A 
854, H 
855, E 
856, G 
857, F 
858, D 
859, E 
860, G 
861, B 
862, D 
863, D 
864, D 
865, E 
866, B 
867, G 
868, D 
869, A 
870, B 
871, C 
872, E 
873, D 
874, F 
875, G 
876, D 
877, A 
878, C 
879, B 
880, C 
881, H 
882, E 
883, B 
884, C 
885, G 
886, B 
887, H 
888, C 
889, H 
890, D 
891, H 
892, D 
893, G 
894, A 
895, E 
896, B 
897, H 
898, B 
899, F 
900, A 
901, C 
902, F 
903, C 
904, A 
905, E 
906, C 
907, A 
908, C 
909, F 
910, F 
911, H 
912, A 
913, D 
914, E 
915, H 
916, G 
917, C 
918, G 
919, D 
920, A 
921, B 
922, G 
923, C 
924, E 
925, D 
