,answers
813,1
814,1
815,2
816,3
817,1
818,1
819,1
820,5
821,7
822,1
823,5
824,3
825,3
826,1
827,3
828,1
829,7
830,1
831,6
832,1
833,1
834,2
835,1
836,3
837,8
838,6
839,1
840,7
841,2
842,1
843,1
844,2
845,3
846,1
847,3
848,1
849,5
850,2
851,1
852,2
853,1
854,8
855,3
856,7
857,1
858,4
859,5
860,7
861,2
862,4
863,2
864,4
865,4
866,5
867,7
868,4
869,1
870,2
871,4
872,5
873,4
874,1
875,7
876,4
877,1
878,3
879,2
880,3
881,8
882,5
883,1
884,1
885,7
886,2
887,1
888,3
889,8
890,4
891,8
892,4
893,7
894,1
895,5
896,1
897,8
898,1
899,1
900,1
901,1
902,1
903,3
904,1
905,1
906,3
907,1
908,5
909,2
910,1
911,1
912,1
913,4
914,5
915,8
916,7
917,3
918,7
919,4
920,1
921,2
922,1
923,3
924,5
925,4
