,answers
412,1
413,7
414,4
415,8
416,8
417,4
418,4
419,1
420,4
421,5
422,1
423,3
424,2
425,3
426,4
427,5
428,4
429,1
430,3
431,4
432,7
433,3
434,1
435,8
436,4
437,4
438,6
439,1
440,6
441,5
442,1
443,7
444,1
445,1
446,2
447,1
448,7
449,1
450,7
451,1
452,1
453,4
454,3
455,1
456,1
457,7
458,4
459,8
460,4
461,5
462,5
463,1
464,1
465,1
466,5
467,1
468,7
469,4
470,7
471,6
472,4
473,1
474,3
475,3
476,5
477,4
478,6
479,1
480,1
481,7
482,3
483,1
484,7
485,1
486,1
487,1
488,8
489,1
490,4
491,6
492,7
493,2
494,5
495,1
496,7
497,4
498,1
499,7
500,6
501,5
502,7
503,8
504,8
505,2
506,4
507,5
508,3
509,4
510,4
511,4
512,7
513,1
514,3
515,8
516,3
517,1
518,4
519,6
520,4
521,5
522,3
523,1
524,1
525,4
526,6
527,7
528,4
529,4
530,1
531,7
532,7
533,2
534,1
535,7
536,1
537,5
538,2
539,1
540,6
541,7
542,2
543,5
544,1
545,3
546,6
547,7
548,5
549,3
550,8
551,1
552,1
553,1
554,6
555,4
556,4
557,4
558,7
559,4
560,7
561,4
562,4
563,1
564,4
565,4
566,1
567,4
568,6
569,1
570,1
571,8
572,8
573,4
574,3
575,3
576,8
577,4
578,1
579,6
580,5
581,6
582,3
583,7
584,2
585,8
586,1
587,1
588,4
589,4
590,4
591,3
592,3
593,3
594,6
595,2
596,4
597,5
598,1
599,4
600,4
601,6
602,4
603,1
604,4
605,4
606,4
607,8
608,1
609,4
610,4
611,1
612,8
613,8
614,1
615,1
616,8
617,5
618,7
619,8
620,1
621,4
622,2
623,7
624,7
625,1
626,6
627,6
628,4
629,6
630,4
631,5
632,2
633,1
634,5
635,4
636,4
637,1
638,4
639,8
640,3
641,4
642,6
643,2
644,3
645,6
646,1
647,5
648,8
649,1
650,1
651,2
652,1
653,2
654,8
655,6
656,1
657,6
658,3
659,7
660,4
661,4
662,1
663,4
664,5
665,2
666,7
667,1
668,5
669,3
670,5
671,2
672,7
673,8
674,4
675,2
676,4
677,1
678,4
679,5
680,2
681,6
682,2
683,8
684,1
685,1
686,1
687,1
688,2
689,4
690,3
691,7
692,2
693,4
694,2
695,4
696,5
697,1
698,5
699,5
700,4
701,2
702,1
703,5
704,7
705,8
706,2
707,4
708,4
709,3
710,4
711,4
712,4
713,1
714,4
715,3
716,5
717,4
718,6
719,1
720,1
721,4
722,1
723,8
724,1
725,1
726,1
727,3
728,4
729,3
730,4
731,8
732,1
733,1
734,7
735,3
736,4
737,7
738,8
739,3
740,1
741,7
742,7
743,1
744,8
745,3
746,2
747,5
748,4
749,4
750,8
751,7
752,8
753,8
754,2
755,4
756,1
757,4
758,7
759,1
760,4
761,4
762,1
763,4
764,4
765,5
766,1
767,1
768,1
769,6
770,1
771,1
772,2
773,1
774,4
775,1
776,1
777,1
778,8
779,4
780,1
781,1
782,1
783,1
784,4
785,7
786,4
787,1
788,3
789,8
790,6
791,4
792,6
793,1
794,1
795,6
796,4
797,8
798,5
799,5
800,1
801,1
802,4
803,1
804,1
805,5
806,8
807,4
808,7
809,1
810,7
811,1
812,7
813,4
814,6
815,2
816,4
817,4
818,1
819,5
820,5
821,7
822,6
823,4
824,3
825,3
826,4
827,3
828,4
829,7
830,5
831,6
832,1
833,6
834,2
835,7
836,1
837,8
838,1
839,1
840,7
841,2
842,6
843,1
844,2
845,4
846,1
847,3
848,4
849,5
850,2
851,7
852,2
853,1
854,8
855,2
856,1
857,1
858,1
859,1
860,7
861,2
862,4
863,1
864,2
865,4
866,2
867,7
868,4
869,1
870,2
871,1
872,4
873,4
874,1
875,4
876,4
877,1
878,3
879,8
880,3
881,1
882,5
883,2
884,3
885,3
886,4
887,8
888,3
889,8
890,4
891,8
892,4
893,4
894,1
895,5
896,1
897,8
898,2
899,4
900,1
901,4
902,6
903,3
904,1
905,1
906,3
907,1
908,3
909,2
910,4
911,4
912,1
913,4
914,8
915,4
916,4
917,1
918,7
919,4
920,1
921,2
922,1
923,3
924,1
925,4
