,answers
731,8
732,5
733,3
734,7
735,3
736,5
737,7
738,8
739,3
740,4
741,3
742,5
743,4
744,8
745,3
746,7
747,2
748,6
749,3
750,8
751,7
752,3
753,8
754,6
755,4
756,8
757,5
758,7
759,4
760,2
761,6
762,8
763,7
764,2
765,5
766,2
767,1
768,4
769,7
770,7
771,2
772,4
773,4
774,6
775,7
776,3
777,2
778,8
779,4
780,5
781,1
782,3
783,2
784,4
785,7
786,7
787,5
788,3
789,8
790,6
791,1
792,8
793,3
794,6
795,2
796,8
797,8
798,4
799,7
800,4
801,1
802,3
803,7
804,1
805,5
806,8
807,3
808,7
809,2
810,7
811,8
812,8
813,7
814,6
815,5
816,3
817,7
818,1
819,5
820,3
821,7
822,6
823,5
824,4
825,3
826,4
827,3
828,4
829,7
830,2
831,6
832,6
833,7
834,2
835,2
836,3
837,8
838,8
839,4
840,4
841,2
842,1
843,1
844,6
845,1
846,8
847,3
848,3
849,5
850,2
851,7
852,2
853,8
854,5
855,5
856,7
857,8
858,4
859,5
860,3
861,2
862,6
863,4
864,4
865,3
866,2
867,7
868,4
869,1
870,4
871,3
872,5
873,1
874,1
875,8
876,4
877,8
878,2
879,4
880,3
881,8
882,5
883,2
884,2
885,7
886,2
887,8
888,3
889,4
890,8
891,8
892,5
893,7
894,6
895,2
896,2
897,8
898,2
899,3
900,1
901,3
902,6
903,3
904,1
905,5
906,3
907,4
908,3
909,7
910,3
911,8
912,3
913,4
914,5
915,8
916,7
917,3
918,7
919,4
920,8
921,2
922,7
923,5
924,5
925,4
