,answers
503,8
504,5
505,1
506,4
507,8
508,4
509,8
510,5
511,4
512,3
513,4
514,8
515,8
516,3
517,7
518,6
519,8
520,7
521,4
522,8
523,5
524,1
525,4
526,2
527,8
528,4
529,4
530,1
531,1
532,8
533,8
534,8
535,6
536,8
537,8
538,4
539,1
540,1
541,8
542,4
543,8
544,8
545,8
546,8
547,8
548,3
549,8
550,8
551,1
552,1
553,8
554,6
555,8
556,8
557,8
558,8
559,1
560,8
561,1
562,8
563,8
564,8
565,4
566,3
567,5
568,5
569,4
570,8
571,8
572,8
573,4
574,3
575,5
576,4
577,8
578,8
579,8
580,3
581,4
582,8
583,8
584,3
585,5
586,4
587,4
588,4
589,4
590,7
591,4
592,1
593,4
594,5
595,4
596,4
597,4
598,4
599,8
600,4
601,4
602,3
603,4
604,8
605,4
606,2
607,6
608,8
609,4
610,8
611,1
612,6
613,1
614,4
615,1
616,8
617,7
618,3
619,8
620,8
621,8
622,8
623,4
624,4
625,4
626,8
627,8
628,8
629,4
630,8
631,4
632,8
633,8
634,1
635,4
636,8
637,8
638,3
639,7
640,3
641,6
642,4
643,6
644,8
645,1
646,3
647,8
648,8
649,4
650,1
651,8
652,2
653,4
654,8
655,8
656,1
657,8
658,8
659,4
660,3
661,4
662,8
663,8
664,4
665,3
666,4
667,8
668,6
669,4
670,5
671,2
672,4
673,8
674,8
675,8
676,4
677,8
678,4
679,8
680,4
681,8
682,8
683,8
684,1
685,8
686,4
687,6
688,4
689,8
690,8
691,4
692,2
693,7
694,4
695,4
696,8
697,4
698,4
699,8
700,8
701,8
702,3
703,4
704,8
705,8
706,8
707,2
708,4
709,4
710,8
711,4
712,4
713,8
714,8
715,4
716,8
717,8
718,4
719,8
720,5
721,8
722,3
723,8
724,4
725,8
726,8
727,8
728,1
729,4
730,8
731,8
732,4
733,8
734,5
735,4
736,4
737,1
738,8
739,4
740,8
741,8
742,7
743,8
744,8
745,3
746,4
747,8
748,8
749,8
750,8
751,6
752,4
753,8
754,8
755,4
756,6
757,1
758,4
759,8
760,1
761,8
762,1
763,8
764,4
765,8
766,2
767,8
768,8
769,8
770,1
771,2
772,1
773,4
774,1
775,8
776,1
777,1
778,8
779,4
780,2
781,8
782,8
783,4
784,4
785,4
786,4
787,4
788,5
789,8
790,4
791,8
792,8
793,8
794,4
795,4
796,4
797,8
798,8
799,8
800,2
801,4
802,8
803,5
804,8
805,4
806,8
807,8
808,6
809,8
810,8
811,8
812,8
813,8
814,4
815,4
816,4
817,8
818,4
819,8
820,8
821,8
822,8
823,4
824,5
825,4
826,4
827,3
828,4
829,4
830,5
831,4
832,4
833,8
834,4
835,7
836,8
837,8
838,8
839,8
840,8
841,8
842,8
843,1
844,3
845,4
846,4
847,3
848,8
849,4
850,8
851,8
852,1
853,4
854,3
855,4
856,4
857,4
858,8
859,4
860,1
861,2
862,8
863,3
864,4
865,8
866,4
867,8
868,8
869,1
870,4
871,8
872,1
873,3
874,8
875,8
876,4
877,8
878,3
879,4
880,8
881,7
882,2
883,8
884,8
885,8
886,3
887,4
888,4
889,4
890,3
891,8
892,4
893,8
894,8
895,4
896,4
897,8
898,8
899,5
900,4
901,4
902,5
903,8
904,8
905,4
906,4
907,4
908,8
909,8
910,8
911,6
912,4
913,8
914,8
915,8
916,8
917,4
918,8
919,4
920,1
921,4
922,4
923,7
924,3
925,4
